Position Number,Applicant ID,Applicant Status,Internal/External Applicant,Sex,Disabled,Disab Vet,Race/Ethnicity,Mil Status
18212.0,23741995,Rejected; No Interview,External,Male,N,N,Black/African American,Not a Veteran
18212.0,35568284,Rejected; No Interview,External,Female,,,White,Not indicated
18212.0,36203311,Rejected; No Interview,External,Male,Y,,White,Not indicated
18212.0,37656062,Rejected; Interview,External,Female,Y,,White,Not indicated
18212.0,38212394,Rejected; No Interview,External,Female,,,Hispanic/Latino,No Military Service
18212.0,50572367,Rejected; No Interview,External,Male,,,Asian,Not indicated
18212.0,51106009,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18212.0,57780637,Rejected; No Interview,External,Male,Y,N,White,Not a Veteran
18212.0,59361873,Rejected; No Interview,External,Female,Y,N,Asian,Not a Veteran
18212.0,60740227,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18212.0,62428090,Hired,External,Female,N,N,White,Not indicated
18212.0,64187731,Rejected; Min Qualifications Not Met,External,Female,N,N,Black/African American,Not a Veteran
18212.0,67885408,Rejected; No Interview,External,Female,Y,N,White,Not a Veteran
18212.0,70334496,Rejected; No Interview,External,Female,N,N,Asian,Not a Veteran
18212.0,70519960,Rejected; No Interview,External,Male,Y,,Asian,No Military Service
18212.0,79517616,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18212.0,84247009,Rejected; No Interview,External,Female,N,N,Hispanic/Latino,Not a Veteran
18212.0,84739432,Rejected; No Interview,External,Male,,,Hispanic/Latino,Not indicated
18212.0,84848966,Rejected; No Interview,External,Male,,,Asian,Not indicated
18212.0,90694863,Rejected; Min Qualifications Not Met,External,Male,N,N,White,Not a Veteran
18212.0,91642679,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18212.0,92007902,Rejected; No Interview,External,Female,,,White,Not a Veteran
18229.0,12388750,Hired,External,Female,,,Asian,Not a Veteran
18229.0,13886538,Rejected; No Interview,External,Female,,,White,Not indicated
18229.0,22487025,Rejected; No Interview,External,Female,Y,N,Black/African American,Not a Veteran
18229.0,26031221,Rejected; No Interview,External,Female,,,Black/African American,Not indicated
18229.0,27020755,Rejected; Interview,External,Female,N,N,Asian,Not a Veteran
18229.0,38076798,Rejected; No Interview,External,Male,,,White,Not a Veteran
18229.0,45039064,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18229.0,50103883,Rejected; No Interview,External,Female,,,White,Not indicated
18229.0,62915431,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18229.0,72266368,Rejected; Min Qualifications Not Met,External,Female,N,N,Hispanic/Latino,Not a Veteran
